No,Desa/Kelurahan,Kecamatan,wisata_nusantara,Skala
383,Poter,Tanah Merah,0,0
384,Buddan,Tanah Merah,0,0
385,Mrecah,Tanah Merah,0,0
386,Dlamba Laok,Tanah Merah,0,0
387,Batangan,Tanah Merah,0,0
388,Pangeleyan,Tanah Merah,0,0
389,Batonaong,Arosbaya,0,0
390,Landak,Tanah Merah,0,0
391,Pettong,Tanah Merah,0,0
392,Jangkar,Tanah Merah,0,0
393,Kendaban,Tanah Merah,0,0
394,Tlomar,Tanah Merah,0,0
395,Dumajah,Tanah Merah,0,0
396,Tanah Merah Daya,Tanah Merah,0,0
397,Petrah,Tanah Merah,0,0
398,Padurungan,Tanah Merah,0,0
399,Pangpajung,Modung,0,0
400,Sendang Daya,Labang,0,0
401,Buluk Agung,Klampis,0,0
402,Sendang Laok,Labang,0,0
403,Senasen,Konang,0,0
404,Konang,Konang,0,0
405,Bandung,Konang,0,0
406,Pakes,Konang,0,0
407,Durin Timur,Konang,0,0
408,Batokaban,Konang,0,0
409,Kanegarah,Konang,0,0
410,Durin Barat,Konang,0,0
411,Galis Daya,Konang,0,0
412,Batokorogan,Kokop,0,0
413,Dupok,Kokop,0,0
414,Banda Soleh,Kokop,0,0
415,Katol Timur,Kokop,0,0
416,Tramok,Kokop,0,0
417,Bandang Laok,Kokop,0,0
418,Mandung,Kokop,0,0
419,Mano'An,Kokop,0,0
420,Tlokoh,Kokop,0,0
421,Kokop,Kokop,0,0
422,Ampara'an,Kokop,0,0
423,Lembung Gunung,Kokop,0,0
424,Klampis Timur,Klampis,0,0
425,Klampis Barat,Klampis,0,0
426,Campor,Konang,0,0
427,Sambiyan,Konang,0,0
428,Cangkarman,Konang,0,0
429,Paoran,Kwanyar,0,0
430,Jukong,Labang,0,0
431,Labang,Labang,0,0
432,Ba'Engas,Labang,0,0
433,Bringin,Labang,0,0
434,Bunajih,Labang,0,0
435,Sukolilo Timur,Labang,0,0
436,Sukolilo Barat,Labang,0,0
437,Pangpong,Labang,0,0
438,Kesek,Labang,0,0
439,Gunung Sereng,Kwanyar,0,0
440,Sumur Kuning,Kwanyar,0,0
441,Tebul,Kwanyar,0,0
442,Morombuh,Kwanyar,0,0
443,Dlemer,Kwanyar,0,0
444,Janteh,Kwanyar,0,0
445,Karang Entang,Kwanyar,0,0
446,Pandanan,Kwanyar,0,0
447,Duwek Buter,Kwanyar,0,0
448,Batah Timur,Kwanyar,0,0
449,Batah Barat,Kwanyar,0,0
450,Karanganyar,Kwanyar,0,0
451,Pasanggrahan,Kwanyar,0,0
452,Ragung,Pangarengan,0,0
