No,Desa/Kelurahan,Kecamatan,Akomodasi (Jumlah),Skala
401,Batokorogan,Kokop,0,0
402,Dupok,Kokop,0,0
403,Banda Soleh,Kokop,0,0
404,Katol Timur,Kokop,0,0
405,Tramok,Kokop,0,0
406,Bandang Laok,Kokop,0,0
407,Mandung,Kokop,0,0
408,Mano'An,Kokop,0,0
409,Durjan,Kokop,0,0
410,Tlokoh,Kokop,0,0
411,Ampara'an,Kokop,0,0
412,Kanegarah,Konang,0,0
413,Lembung Gunung,Kokop,0,0
414,Klampis Timur,Klampis,0,0
415,Klampis Barat,Klampis,0,0
416,Bator,Klampis,0,0
417,Buluk Agung,Klampis,0,0
418,Mrandung,Klampis,0,0
419,Tobaddung,Klampis,0,0
420,Ko'ol,Klampis,0,0
421,Trogan,Klampis,0,0
422,Bulung,Klampis,0,0
423,Tenggun Daya,Klampis,0,0
424,Durin Barat,Konang,0,0
425,Batokaban,Konang,0,0
426,Kesek,Labang,0,0
427,Batah Barat,Kwanyar,0,0
428,Gunung Sereng,Kwanyar,0,0
429,Paoran,Kwanyar,0,0
430,Sumur Kuning,Kwanyar,0,0
431,Morombuh,Kwanyar,0,0
432,Ketetang,Kwanyar,0,0
433,Dlemer,Kwanyar,0,0
434,Janteh,Kwanyar,0,0
435,Karang Entang,Kwanyar,0,0
436,Pandanan,Kwanyar,0,0
437,Duwek Buter,Kwanyar,0,0
438,Batah Timur,Kwanyar,0,0
439,Karanganyar,Kwanyar,0,0
440,Durin Timur,Konang,0,0
441,Pasanggrahan,Kwanyar,0,0
442,Kwanyar Barat,Kwanyar,0,0
443,Tebul,Kwanyar,0,0
444,Genteng,Konang,0,0
445,Cangkarman,Konang,0,0
446,Sambiyan,Konang,0,0
447,Campor,Konang,0,0
448,Senasen,Konang,0,0
449,Konang,Konang,0,0
450,Bandung,Konang,0,0
451,Pakes,Konang,0,0
452,Ragung,Pangarengan,0,0
