No,Desa/Kelurahan,Kecamatan,medsos,Skala
378,Petrah,Tanah Merah,0,0
379,Padurungan,Tanah Merah,0,0
380,Pangeleyan,Tanah Merah,0,0
381,Kranggan Barat,Tanah Merah,0,0
382,Tanah Merah Laok,Tanah Merah,1,0
383,Pacentan,Tanah Merah,0,0
384,Alaskokon,Modung,0,0
385,Pernajuh,Socah,1,0
386,Dakiring,Socah,0,0
387,Petaonan,Socah,0,0
388,Keleyan,Socah,0,0
389,Bilaporah,Socah,0,0
390,Parseh,Socah,1,0
391,Sanggra Agung,Socah,0,0
392,Jaddih,Socah,1,0
393,Buluh,Socah,0,0
394,Socah,Socah,0,0
395,Junganyar,Socah,0,0
396,Kesek,Labang,0,0
397,Gunung Sereng,Kwanyar,0,0
398,Paoran,Kwanyar,0,0
399,Klampis Timur,Klampis,0,0
400,Banda Soleh,Kokop,0,0
401,Katol Timur,Kokop,0,0
402,Tramok,Kokop,0,0
403,Bandang Laok,Kokop,0,0
404,Mandung,Kokop,0,0
405,Mano'An,Kokop,0,0
406,Durjan,Kokop,1,0
407,Tlokoh,Kokop,0,0
408,Kokop,Kokop,0,0
409,Ampara'an,Kokop,0,0
410,Lembung Gunung,Kokop,0,0
411,Klampis Barat,Klampis,0,0
412,Batokorogan,Kokop,0,0
413,Bator,Klampis,1,0
414,Buluk Agung,Klampis,0,0
415,Mrandung,Klampis,0,0
416,Tobaddung,Klampis,0,0
417,Ko'ol,Klampis,0,0
418,Trogan,Klampis,0,0
419,Bulung,Klampis,0,0
420,Tenggun Daya,Klampis,0,0
421,Larangan Sorjan,Klampis,0,0
422,Manonggal,Klampis,0,0
423,Larangan Glintong,Klampis,0,0
424,Dupok,Kokop,0,0
425,Galis Daya,Konang,0,0
426,Sumur Kuning,Kwanyar,0,0
427,Kwanyar Barat,Kwanyar,1,0
428,Morombuh,Kwanyar,0,0
429,Ketetang,Kwanyar,1,0
430,Dlemer,Kwanyar,0,0
431,Janteh,Kwanyar,0,0
432,Karang Entang,Kwanyar,0,0
433,Pandanan,Kwanyar,0,0
434,Duwek Buter,Kwanyar,0,0
435,Batah Timur,Kwanyar,0,0
436,Batah Barat,Kwanyar,0,0
437,Karanganyar,Kwanyar,0,0
438,Pasanggrahan,Kwanyar,0,0
439,Tebul,Kwanyar,0,0
440,Durin Barat,Konang,0,0
441,Genteng,Konang,1,0
442,Cangkarman,Konang,0,0
443,Sambiyan,Konang,0,0
444,Campor,Konang,0,0
445,Senasen,Konang,0,0
446,Konang,Konang,0,0
447,Bandung,Konang,0,0
448,Pakes,Konang,0,0
449,Durin Timur,Konang,0,0
450,Batokaban,Konang,0,0
451,Kanegarah,Konang,0,0
452,Ragung,Pangarengan,0,0
